Time,Open,High,Low,Close
1709379900,62006.5,62010,61974.5,61998
1709380200,61973,61973.5,61926.5,61954
1709380500,61911.5,61926,61884.5,61884.5
1709380800,61877.5,61933.5,61877.5,61906
1709381100,61922,61985.5,61922,61985.5
1709381400,61987,62004.5,61952,61988
1709381700,61966.5,61982,61958,61982
1709382000,61993.5,62040.5,61990.5,62040
1709382300,62053.5,62072,62046,62058
1709382600,62039.5,62050.5,62005.5,62050.5
1709382900,62064,62167,62064,62156
1709383200,62141.5,62161,62102,62158
1709383500,62132,62206,62131.5,62171
1709383800,62176.5,62176.5,62076.5,62112.5
1709384100,62113,62145,62113,62120.5
1709384400,62117,62119,62068.5,62074.5
1709384700,62064.5,62064.5,61996.5,62005.5
1709385000,61989.5,62019.5,61978,61978
1709385300,61993.5,62038,61986,62017.5
1709385600,62026,62026.5,61982.5,61986
1709385900,61971,62006,61925.5,61925.5
1709386200,61894.5,61957,61875,61946
1709386500,61966,61984,61931.5,61975.5
1709386800,61991,62004,61985.5,62004
1709387100,62018.5,62022.5,61979,61979
1709387400,61991.5,61991.5,61974,61974
1709387700,61975.5,61975.5,61853.5,61853.5
1709388000,61816,61816,61573.5,61720
1709388300,61670,61762.5,61621.5,61726.5
1709388600,61730,61762.5,61721.5,61762.5
1709388900,61757.5,61928,61757.5,61928
1709389200,61918,61935,61839.5,61864
1709389500,61883,61883,61700,61739
1709389800,61793.5,61825,61751,61813.5
1709390100,61850.5,61855.5,61730.5,61759.5
1709390400,61733,61747.5,61692,61747.5
1709390700,61785,61843.5,61767.5,61843.5
1709391000,61845.5,61934.5,61845.5,61923.5
1709391300,61923.5,61925.5,61813.5,61831.5
1709391600,61880,61941.5,61880,61916
1709391900,61932,61956.5,61901.5,61901.5
1709392200,61930,62003.5,61930,62003.5
1709392500,61976.5,61998.5,61964,61973.5
1709392800,61974.5,61974.5,61855.5,61858
1709393100,61896,61967.5,61896,61967.5
1709393400,61992,62004.5,61894,61917
1709393700,61918,61918,61841.5,61917.5
1709394000,61926,61950,61893.5,61893.5
1709394300,61892,61919.5,61848,61870
1709394600,61889.5,61889.5,61787.5,61795.5
1709394900,61773,61819.5,61773,61810
1709395200,61829,61894.5,61799.5,61848
1709395500,61856.5,61919,61856.5,61862
1709395800,61878.5,61898,61878,61893.5
1709396100,61888.5,61906,61843,61843
1709396400,61828.5,61828.5,61772,61801.5
1709396700,61794.5,61802,61777.5,61802
1709397000,61801.5,61813,61750.5,61752.5
1709397300,61758.5,61786.5,61719.5,61719.5
1709397600,61722.5,61753,61698.5,61727
1709397900,61712.5,61727.5,61676.5,61727.5
1709398200,61782.5,61861.5,61772,61860.5
1709398500,61878.5,61928,61868,61909.5
1709398800,61896.5,61931.5,61888,61917
1709399100,61916.5,61950.5,61916.5,61935.5
1709399400,61939,61965.5,61878,61878
1709399700,61898,61911.5,61789,61911.5
1709400000,61906.5,61906.5,61846,61875.5
1709400300,61852.5,61938,61852.5,61909.5
1709400600,61927,61970.5,61927,61962
1709400900,61963,61983,61926.5,61931
1709401200,61944,61993,61944,61979
1709401500,61979.5,61979.5,61932.5,61935.5
1709401800,61936,61936,61843,61843
1709402100,61831,61840.5,61813.5,61817
1709402400,61817,61853.5,61815,61846.5
1709402700,61868.5,61880.5,61852.5,61875
1709403000,61883,61913.5,61883,61913.5
1709403300,61915,61946,61915,61944
1709403600,61974,61974.5,61929.5,61933.5
1709403900,61966.5,61968,61941.5,61941.5
1709404200,61930.5,61933,61883.5,61909
1709404500,61927,61986.5,61926.5,61986.5
1709404800,61989,61993,61979,61993
1709405100,61986,62028.5,61973.5,62028.5
1709405400,62023.5,62048,62016.5,62047.5
1709405700,62017,62048.5,62016.5,62041
1709406000,62086,62091,62018.5,62018.5
1709406300,62018.5,62054,62018.5,62045.5
1709406600,62071,62078,62009.5,62009.5
1709406900,62010,62092.5,62010,62092.5
1709407200,62080.5,62080.5,62039,62047
1709407500,62067,62102,62065,62078.5
1709407800,62080,62093.5,62019,62019
1709408100,62024.5,62055.5,62018.5,62055.5
1709408400,62071.5,62076,62039,62040.5
1709408700,62033,62088,62032.5,62075
1709409000,62080,62127.5,62080,62127.5
1709409300,62132,62148,62110,62146
1709409600,62154,62245.5,62154,62184.5
1709409900,62144.5,62152,62015.5,62015.5
1709410200,62030,62030,61871,61871
1709410500,61864,61906.5,61808,61892
1709410800,61900.5,61900.5,61826.5,61865
1709411100,61861.5,61900.5,61847,61882
1709411400,61889.5,61892,61831.5,61831.5
1709411700,61841,61873,61840,61869.5
1709412000,61884.5,61928.5,61884.5,61893.5
1709412300,61902,61931.5,61888,61902
1709412600,61910,61918,61889.5,61900.5
1709412900,61913,61917.5,61898.5,61913
1709413200,61912.5,61952,61912.5,61950
1709413500,61946.5,61949,61911.5,61911.5
1709413800,61942,61966,61940.5,61966
1709414100,61976,62048.5,61975.5,62021.5
1709414400,62042.5,62042.5,61956,61967
1709414700,61967.5,61969.5,61903.5,61903.5
1709415000,61904,61951.5,61903.5,61944.5
1709415300,61951.5,61951.5,61896.5,61917.5
1709415600,61908,61917.5,61886.5,61912
1709415900,61912.5,61919,61876.5,61905
1709416200,61912,61912,61883,61892.5
1709416500,61899,61948.5,61898.5,61948
1709416800,61983.5,61983.5,61913.5,61923
1709417100,61912,61947.5,61893.5,61947.5
1709417400,61947,61971,61915.5,61971
1709417700,61970.5,61986,61923.5,61931.5
1709418000,61927.5,61927.5,61899,61899
1709418300,61876,61907,61865,61906
1709418600,61921,61921,61916.5,61916.5
1709418900,61911.5,61911.5,61867,61867
1709419200,61881.5,61881.5,61846.5,61846.5
1709419500,61841.5,61845.5,61841.5,61845.5
1709419800,61848,61848,61828.5,61828.5
1709420100,61829,61829,61723.5,61723.5
1709420400,61733,61871,61731.5,61832
1709420700,61895.5,61917,61875,61917
1709421000,61897,61929,61888,61929
1709421300,61936,62036,61936,62036
1709421600,62030.5,62062,62029.5,62061.5
1709421900,62068.5,62073,61986,62023.5
1709422200,62061.5,62082,61990,62007.5
1709422500,61993.5,62072.5,61985.5,62038.5
1709422800,62036,62076.5,62036,62056
1709423100,62030,62031,62014.5,62024.5
1709423400,62052,62052,62034,62034
1709423700,61998,62020.5,61998,62008
1709424000,61961.5,62018,61947.5,61957.5
1709424300,61951.5,61964.5,61911.5,61911.5
1709424600,61907,61919.5,61866,61866
1709424900,61922.5,61968.5,61877,61877
1709425200,61869.5,61874.5,61840.5,61850
1709425500,61852,61852.5,61815.5,61818
1709425800,61815.5,61844,61813.5,61833
1709426100,61893,61928,61855.5,61855.5
1709426400,61900,61902,61867,61875
1709426700,61847,61847,61790.5,61797.5
1709427000,61794,61794,61776,61779.5
1709427300,61776,61808,61765.5,61778
1709427600,61782.5,61824,61776.5,61806
1709427900,61805.5,61882.5,61805.5,61861.5
1709428200,61862,61926.5,61862,61915.5
1709428500,61921,61928,61852,61852
1709428800,61835,61869.5,61823.5,61869.5
1709429100,61853,61853,61813,61849
1709429400,61869.5,61886,61835.5,61840.5
1709429700,61840,61876,61840,61876
1709430000,61864,61864,61829,61829
1709430300,61818,61824.5,61796.5,61824.5
1709430600,61828.5,61836.5,61822.5,61825.5
1709430900,61831.5,61840.5,61826,61834
1709431200,61828,61839.5,61819,61819
1709431500,61824.5,61827.5,61822,61822.5
1709431800,61822,61822,61794,61794
1709432100,61796,61796,61760.5,61760.5
1709432400,61757,61757,61728,61728.5
1709432700,61781,61782.5,61717,61717
1709433000,61741,61746,61686,61741
1709433300,61728.5,61831,61710,61829.5
1709433600,61826.5,61830.5,61795,61818
1709433900,61825,61843,61804,61804
1709434200,61820.5,61831.5,61805.5,61827.5
1709434500,61831.5,61846,61831,61846
1709434800,61852,61852,61817,61833.5
1709435100,61833,61879,61833,61844.5
1709435400,61893.5,61910,61893,61910
1709435700,61903.5,62006,61900,62006
1709436000,62025.5,62025.5,61972.5,61972.5
1709436300,61953,62006,61947.5,62005.5
1709436600,61995,62011.5,61960.5,61971.5
1709436900,61996.5,62003.5,61976.5,61981.5
1709437200,62010.5,62015,61995,62008
1709437500,62024,62031,61987,61989.5
1709437800,62016.5,62026.5,61917.5,61917.5
1709438100,61931.5,61960,61931.5,61959.5
1709438400,61960,61979.5,61936.5,61979.5
1709438700,61997,62038,61997,62032.5
1709439000,62045,62045,62015,62037
1709439300,62043.5,62088.5,62043,62087.5
1709439600,62092,62134,62092,62092.5
1709439900,62098.5,62133.5,62098.5,62124
1709440200,62114,62114,62042.5,62042.5
1709440500,62028,62078,62028,62078
1709440800,62092,62125,62077,62081
1709441100,62056,62062,62034,62034
1709441400,62045,62064.5,62038,62040.5
1709441700,62041,62057.5,62039,62056.5
1709442000,62056,62080.5,62024.5,62025.5
1709442300,62015.5,62039.5,62011.5,62011.5
1709442600,61994,61995.5,61962,61971.5
1709442900,61996,61998,61953,61956.5
1709443200,61955,61978.5,61934,61944
